,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
352839,MANHATTAN,PETIT LARCENY,40.8230925,-73.95633901,10031,MISDEMEANOR,2022-09-01
352843,BROOKLYN,ADMINISTRATIVE CODE,40.656517,-73.91636,11212,MISDEMEANOR,2022-09-01
352844,QUEENS,GRAND LARCENY,40.776025,-73.904847,11105,FELONY,2022-09-02
352846,MANHATTAN,BURGLARY,40.796477,-73.947411,10029,FELONY,2022-09-01
352849,MANHATTAN,GRAND LARCENY,40.789593,-73.929984,10035,FELONY,2022-09-03
352855,QUEENS,BURGLARY,40.590473,-73.796915,11692,FELONY,2022-09-02
352860,MANHATTAN,PETIT LARCENY,40.795572,-73.932295,10035,MISDEMEANOR,2022-09-02
352863,MANHATTAN,PETIT LARCENY,40.766501,-73.982362,10019,MISDEMEANOR,2022-09-03
352868,MANHATTAN,OFFENSES AGAINST PUBLIC ADMINI,40.794572,-73.947752,10029,MISDEMEANOR,2022-09-02
352869,MANHATTAN,PETIT LARCENY,40.761354,-73.975144,10035,MISDEMEANOR,2022-09-01
352871,MANHATTAN,OFFENSES AGAINST PUBLIC ADMINI,40.713377,-73.982368,10002,MISDEMEANOR,2022-09-03
352876,BROOKLYN,PETIT LARCENY,40.650298,-73.959342,11226,MISDEMEANOR,2022-09-01
352878,BROOKLYN,PETIT LARCENY,40.59166989,-73.98653015,11214,MISDEMEANOR,2022-09-03
352879,BROOKLYN,GRAND LARCENY,40.704823,-73.922246,11237,FELONY,2022-09-02
352883,BRONX,ASSAULT 3 & RELATED OFFENSES,40.84601,-73.896507,10457,MISDEMEANOR,2022-09-03
352884,MANHATTAN,PETIT LARCENY,40.8009303727402,-73.9410982410066,10035,MISDEMEANOR,2022-09-03
352886,BROOKLYN,MISCELLANEOUS PENAL LAW,40.677235,-73.91641,11233,FELONY,2022-09-02
352887,QUEENS,PETIT LARCENY,40.734955,-73.874983,11373,MISDEMEANOR,2022-09-01
352890,QUEENS,DANGEROUS DRUGS,40.69886483,-73.81318882,11435,MISDEMEANOR,2022-09-01
352891,MANHATTAN,PETIT LARCENY,40.712794,-74.007445,10003,MISDEMEANOR,2022-09-04
352892,BROOKLYN,BURGLARY,40.688326,-73.876194,11208,FELONY,2022-09-02
352895,MANHATTAN,OFFENSES INVOLVING FRAUD,40.80505732,-73.93903422,10035,MISDEMEANOR,2022-09-01
